CUST_NO,PRODUCT,DEALERSHIP,PAYMENT_DESC,PROMO_ID,DATE_ID,TRANSACTION_DATE,TRANSACTION_ID,EMPLOYEE_ID,TIME_KEY,SELLING_PRICE,DELIVERY_CHARGES,QUANTITY,DISCOUNT,HOLDBACK,REBATE
5777,86507,3,Loan,200,2452284,01/10/2005 00:00:00,1047693,86414,71227,411.32,4.50,1,1.213527,11.25,6.75
5791,86509,21,Loan,200,2452284,01/10/2005 00:00:00,1046636,86465,111757,641.51,6.20,1,15.763547,15.50,9.30
5777,86523,3,Other,200,2452284,01/10/2005 00:00:00,1047693,86414,85911,2566.74,23.45,1,23.042640,58.63,35.18
5791,86535,21,Cash,125,2452284,01/10/2005 00:00:00,1046636,86475,162647,359.09,3.25,1,24.245629,8.13,4.88
5777,86525,3,Bank Draft,200,2452284,01/10/2005 00:00:00,1047693,86416,160319,229.74,4.40,1,16.984402,5.50,3.30
5791,86522,21,Other,125,2452284,01/10/2005 00:00:00,1046636,86475,154625,2627.55,26.70,1,9.707530,66.75,40.05
5791,86502,21,Cash,200,2452284,01/10/2005 00:00:00,1046636,86447,140743,596.08,12.10,1,9.693878,15.13,9.08
5791,86530,21,Bank Draft,200,2452284,01/10/2005 00:00:00,1046636,86465,90106,3118.89,62.00,1,12.105156,77.50,46.50
5777,86535,3,Lease,200,2452284,01/10/2005 00:00:00,1047693,86416,91422,179.54,3.25,2,24.245629,8.13,4.88
4396,86531,7,Loan,200,2452285,01/10/2005 00:00:00,1047753,86481,183508,350.75,3.45,1,13.306272,8.63,5.17
4396,2002,7,Bank Draft,200,2452285,01/10/2005 00:00:00,1047753,86453,115109,50257.71,510.00,1,9.691740,1275.00,765.00
4396,2004,7,Bank Draft,200,2452285,01/10/2005 00:00:00,1047753,86427,121507,54771.93,540.00,1,13.344736,1350.00,810.00
1657,2001,11,Bank Draft,200,2452286,01/10/2005 00:00:00,1047120,86433,152759,83048.01,780.00,1,19.400568,1950.00,1170.00
6017,86501,23,Cash,200,2452286,01/10/2005 00:00:00,1047834,86458,84859,741.38,6.90,1,20.619433,17.25,10.35
6017,86512,23,Other,200,2452286,01/10/2005 00:00:00,1047834,86479,71408,4302.96,45.00,1,6.051711,112.50,67.50
6017,86528,23,Cash,125,2452286,01/10/2005 00:00:00,1047834,86458,175752,453.31,4.25,1,19.356162,10.63,6.38
2517,2003,18,Loan,200,2452289,01/10/2005 00:00:00,1047377,86413,134635,85317.59,840.00,1,13.322262,2100.00,1260.00
5246,86501,24,Loan,200,2452290,01/10/2005 00:00:00,1047096,86443,103511,741.38,6.90,1,20.619433,17.25,10.35
6339,86532,14,Cash,105,2452290,01/10/2005 00:00:00,1047596,86451,124530,68.57,2.25,3,1.213157,5.63,3.38
2052,2002,25,Loan,200,2452290,01/10/2005 00:00:00,1046204,86452,120522,50257.71,510.00,1,9.691740,1275.00,765.00
6339,86538,14,Loan,200,2452290,01/10/2005 00:00:00,1047596,86456,115508,359.02,7.00,1,14.531660,8.75,5.25
5246,2002,24,Other,200,2452290,01/10/2005 00:00:00,1047096,86482,184313,50257.71,510.00,1,9.691740,1275.00,765.00
5246,86530,24,Lease,200,2452290,01/10/2005 00:00:00,1047096,86482,113116,3118.89,62.00,1,12.105156,77.50,46.50
5246,86511,24,Bank Draft,200,2452290,01/10/2005 00:00:00,1047096,86482,164232,4603.22,44.50,1,15.768463,111.25,66.75
5246,2001,24,Other,200,2452290,01/10/2005 00:00:00,1047096,86443,132428,83048.01,780.00,1,19.400568,1950.00,1170.00
6339,86529,14,Bank Draft,200,2452290,01/10/2005 00:00:00,1047596,86480,111623,1350.98,28.00,1,7.272881,35.00,21.00
4834,86514,17,Bank Draft,200,2452291,01/10/2005 00:00:00,1047879,86487,110739,1024.78,11.20,1,1.212146,28.00,16.80
4834,86502,17,Loan,200,2452291,01/10/2005 00:00:00,1047879,86487,95118,559.78,12.10,1,2.423469,15.13,9.08
4834,86512,17,Bank Draft,200,2452291,01/10/2005 00:00:00,1047879,86492,185952,4302.96,45.00,1,6.051711,112.50,67.50
4834,86529,17,Loan,200,2452291,01/10/2005 00:00:00,1047879,86467,144405,1350.98,28.00,1,7.272881,35.00,21.00
5756,86505,11,Lease,200,2452292,01/10/2005 00:00:00,1046650,86433,150300,694.73,6.70,1,15.721135,16.75,10.05
5756,86511,11,Bank Draft,200,2452292,01/10/2005 00:00:00,1046650,86464,145131,4603.22,44.50,1,15.768463,111.25,66.75
2483,86511,16,Loan,200,2452292,01/10/2005 00:00:00,1046561,86457,161427,4603.22,44.50,1,15.768463,111.25,66.75
2483,86535,16,Cash,200,2452292,01/10/2005 00:00:00,1046561,86489,181159,359.09,3.25,1,24.245629,8.13,4.88
2483,2003,16,Cash,200,2452292,01/10/2005 00:00:00,1046561,86489,180532,85317.59,840.00,1,13.322262,2100.00,1260.00
2483,86523,16,Cash,200,2452292,01/10/2005 00:00:00,1046561,86457,122307,2543.29,23.45,1,21.829869,58.63,35.18
5491,86533,19,Bank Draft,200,2452293,01/10/2005 00:00:00,1046462,86468,102213,4486.68,44.25,1,13.350497,110.63,66.38
4660,86536,27,Lease,200,2452293,01/10/2005 00:00:00,1046720,86494,160954,1178.46,12.20,1,7.264328,30.50,18.30
4660,86533,27,Loan,200,2452293,01/10/2005 00:00:00,1046720,86494,91114,4486.68,44.25,1,13.350497,110.63,66.38
5491,86541,19,Cash,200,2452293,01/10/2005 00:00:00,1046462,86468,145547,729.53,7.05,1,15.761641,17.63,10.58
4660,86501,27,Loan,200,2452293,01/10/2005 00:00:00,1046720,86417,131646,741.38,6.90,1,20.619433,17.25,10.35
4660,2003,27,Loan,200,2452293,01/10/2005 00:00:00,1046720,86494,122333,85317.59,840.00,1,13.322262,2100.00,1260.00
6500,2001,6,Cash,200,2452294,01/10/2005 00:00:00,1047566,86402,171938,83048.01,780.00,1,19.400568,1950.00,1170.00
6700,86516,4,Bank Draft,200,2452295,01/10/2005 00:00:00,1047016,86409,103927,3951.87,84.60,1,3.639684,105.75,63.45
6428,86522,27,Cash,200,2452295,01/10/2005 00:00:00,1047148,86494,74100,2547.45,53.40,1,6.067206,66.75,40.05
3913,86522,2,Loan,200,2452295,01/10/2005 00:00:00,1046757,86440,80207,2520.75,53.40,1,4.853765,66.75,40.05
4712,86510,25,Other,200,2452295,01/10/2005 00:00:00,1047654,86486,185223,1125.11,22.40,1,12.127625,28.00,16.80
6016,86507,5,Bank Draft,200,2452295,01/10/2005 00:00:00,1047946,86404,80515,411.32,4.50,1,1.213527,11.25,6.75
3841,86536,11,Cash,200,2452295,01/10/2005 00:00:00,1046332,86464,110939,1178.46,12.20,1,7.264328,30.50,18.30
6016,86534,5,Loan,200,2452295,01/10/2005 00:00:00,1047946,86459,101906,4178.98,44.25,1,4.852006,110.63,66.38
6428,86517,27,Loan,200,2452295,01/10/2005 00:00:00,1047148,86417,175137,2655.00,26.70,1,10.917274,66.75,40.05
4712,86516,25,Bank Draft,200,2452295,01/10/2005 00:00:00,1047654,86452,122210,3951.87,84.60,1,3.639684,105.75,63.45
6016,86527,5,Other,200,2452295,01/10/2005 00:00:00,1047946,86434,70358,873.88,17.40,1,12.129190,21.75,13.05
6428,86523,27,Lease,200,2452295,01/10/2005 00:00:00,1047148,86494,172430,2285.34,46.90,1,8.489394,58.63,35.18
4712,86512,25,Loan,200,2452295,01/10/2005 00:00:00,1047654,86452,110337,4302.96,45.00,1,6.051711,112.50,67.50
6700,86509,4,Cash,200,2452295,01/10/2005 00:00:00,1047016,86466,143439,560.91,6.20,1,0.000000,15.50,9.30
3913,86518,2,Loan,200,2452295,01/10/2005 00:00:00,1046757,86423,130736,2495.48,53.40,1,3.637959,66.75,40.05
3841,86516,11,Bank Draft,200,2452295,01/10/2005 00:00:00,1046332,86433,121953,3951.87,84.60,1,3.639684,105.75,63.45
6700,86526,4,Bank Draft,125,2452295,01/10/2005 00:00:00,1047016,86466,114109,2849.79,26.00,1,23.000400,65.00,39.00
6428,86528,27,Cash,200,2452295,01/10/2005 00:00:00,1047148,86417,92520,453.31,4.25,1,19.356162,10.63,6.38
4712,86514,25,Loan,125,2452295,01/10/2005 00:00:00,1047654,86452,185843,341.59,11.20,3,1.212146,28.00,16.80
3841,86528,11,Lease,200,2452295,01/10/2005 00:00:00,1046332,86433,180555,453.31,4.25,1,19.356162,10.63,6.38
4712,86523,25,Cash,200,2452295,01/10/2005 00:00:00,1047654,86452,181854,2519.84,46.90,1,20.617099,58.63,35.18
1364,2000,6,Loan,200,2452295,01/10/2005 00:00:00,1047999,86403,94746,93380.00,1840.00,1,13.333333,2300.00,1380.00
740,2001,8,Loan,200,2452296,01/10/2005 00:00:00,1046708,86428,113349,83048.01,780.00,1,19.400568,1950.00,1170.00
6759,86528,28,Bank Draft,200,2452296,01/10/2005 00:00:00,1046271,86446,133623,453.31,4.25,1,19.356162,10.63,6.38
6759,86528,28,Bank Draft,200,2452296,01/10/2005 00:00:00,1046271,86454,143822,453.31,4.25,1,19.356162,10.63,6.38
4384,86538,26,Bank Draft,200,2452297,01/10/2005 00:00:00,1046932,86499,82848,359.02,7.00,1,14.531660,8.75,5.25
4384,86512,26,Lease,200,2452297,01/10/2005 00:00:00,1046932,86449,112224,4302.96,45.00,1,6.051711,112.50,67.50
5927,2002,8,Cash,200,2452298,01/10/2005 00:00:00,1047602,86428,115421,50257.71,510.00,1,9.691740,1275.00,765.00
6349,2003,17,Lease,200,2452298,01/10/2005 00:00:00,1046532,86467,121657,85317.59,840.00,1,13.322262,2100.00,1260.00
5772,86529,27,Lease,200,2452300,01/10/2005 00:00:00,1046976,86417,83738,1350.98,28.00,1,7.272881,35.00,21.00
5772,86528,27,Other,200,2452300,01/10/2005 00:00:00,1046976,86494,71528,453.31,4.25,1,19.356162,10.63,6.38
5772,86509,27,Cash,200,2452300,01/10/2005 00:00:00,1046976,86494,170553,311.45,12.40,2,12.125805,15.50,9.30
6326,86509,17,Bank Draft,200,2452301,01/10/2005 00:00:00,1047837,86467,185653,653.91,6.20,1,18.188708,15.50,9.30
6326,86518,17,Bank Draft,200,2452301,01/10/2005 00:00:00,1047837,86487,74356,2495.48,53.40,1,3.637959,66.75,40.05
6326,86503,17,Other,200,2452301,01/10/2005 00:00:00,1047837,86467,105519,680.34,7.05,1,7.272592,17.63,10.58
6326,86531,17,Bank Draft,200,2452301,01/10/2005 00:00:00,1047837,86492,143129,350.75,3.45,1,13.306272,8.63,5.17
5379,86501,13,Loan,200,2452302,01/10/2005 00:00:00,1047017,86438,100224,741.38,6.90,1,20.619433,17.25,10.35
5379,86541,13,Bank Draft,200,2452302,01/10/2005 00:00:00,1047017,86401,72205,729.53,14.10,1,15.761641,17.63,10.58
5379,86537,13,Cash,200,2452302,01/10/2005 00:00:00,1047017,86438,175817,2034.68,45.00,1,0.000000,56.25,33.75
5757,86540,11,Other,200,2452303,01/10/2005 00:00:00,1046559,86433,115959,1171.29,22.40,1,16.953437,28.00,16.80
5757,86513,11,Cash,200,2452303,01/10/2005 00:00:00,1046559,86433,121728,3294.38,34.50,1,6.061388,86.25,51.75
5757,86529,11,Loan,200,2452303,01/10/2005 00:00:00,1046559,86433,105826,1350.98,28.00,1,7.272881,35.00,21.00
907,2000,19,Loan,200,2452303,01/10/2005 00:00:00,1047197,86485,155604,93380.00,1840.00,1,13.333333,2300.00,1380.00
4991,2004,22,Lease,200,2452304,01/10/2005 00:00:00,1046270,86477,81207,54771.93,540.00,1,13.344736,1350.00,810.00
2639,2004,7,Lease,200,2452305,01/10/2005 00:00:00,1047271,86453,92142,54771.93,540.00,1,13.344736,1350.00,810.00
6719,86538,6,Loan,200,2452305,01/10/2005 00:00:00,1046654,86402,183333,359.02,7.00,1,14.531660,8.75,5.25
5664,86501,22,Bank Draft,200,2452305,01/10/2005 00:00:00,1046398,86430,121444,741.38,6.90,1,20.619433,17.25,10.35
6719,86540,6,Other,200,2452305,01/10/2005 00:00:00,1046654,86424,143857,1171.29,22.40,1,16.953437,28.00,16.80
3550,86522,15,Cash,200,2452305,01/10/2005 00:00:00,1047651,86444,73221,1247.03,26.70,2,3.640324,66.75,40.05
6719,86529,6,Bank Draft,200,2452305,01/10/2005 00:00:00,1046654,86424,164237,1350.98,28.00,1,7.272881,35.00,21.00
5664,86543,22,Cash,200,2452305,01/10/2005 00:00:00,1046398,86477,104905,373.64,10.90,3,14.486372,27.25,16.35
5664,86531,22,Cash,200,2452305,01/10/2005 00:00:00,1046398,86477,81424,350.75,3.45,1,13.306272,8.63,5.17
6719,86511,6,Cash,200,2452305,01/10/2005 00:00:00,1046654,86432,181214,4603.22,44.50,1,15.768463,111.25,66.75
3550,86514,15,Bank Draft,200,2452305,01/10/2005 00:00:00,1047651,86455,145632,1024.78,11.20,1,1.212146,28.00,16.80
2898,86542,3,Loan,200,2452306,01/10/2005 00:00:00,1047115,86414,92615,179.52,3.50,1,14.531173,4.38,2.63
5044,86508,12,Loan,200,2452306,01/10/2005 00:00:00,1047761,86435,85653,640.61,6.20,1,15.791354,15.50,9.30
5199,2003,10,Other,200,2452306,01/10/2005 00:00:00,1047817,86448,115654,85317.59,840.00,1,13.322262,2100.00,1260.00
5044,86520,12,Loan,200,2452306,01/10/2005 00:00:00,1047761,86435,131052,191.43,3.50,1,23.061251,4.38,2.63
5199,86510,10,Loan,105,2452306,01/10/2005 00:00:00,1047817,86461,123441,1125.11,22.40,1,12.127625,28.00,16.80
2898,86515,3,Other,200,2452306,01/10/2005 00:00:00,1047115,86414,125018,2462.19,22.50,1,23.049645,56.25,33.75
5199,86521,10,Loan,200,2452306,01/10/2005 00:00:00,1047817,86472,122413,4650.50,42.50,1,23.051670,106.25,63.75
5044,86533,12,Cash,200,2452306,01/10/2005 00:00:00,1047761,86435,170953,4486.68,44.25,1,13.350497,110.63,66.38
5108,2002,4,Bank Draft,125,2452307,01/10/2005 00:00:00,1047754,86463,140004,50257.71,510.00,1,9.691740,1275.00,765.00
5108,86530,4,Other,200,2452307,01/10/2005 00:00:00,1047754,86412,92652,3118.89,62.00,1,12.105156,77.50,46.50
5108,86506,4,Other,200,2452307,01/10/2005 00:00:00,1047754,86463,163313,536.44,11.00,1,8.481262,13.75,8.25
5108,86508,4,Bank Draft,200,2452307,01/10/2005 00:00:00,1047754,86466,135730,320.30,6.20,2,15.791354,15.50,9.30
5108,86518,4,Bank Draft,200,2452307,01/10/2005 00:00:00,1047754,86463,81815,2495.48,53.40,1,3.637959,66.75,40.05
5010,86523,27,Bank Draft,200,2452308,01/10/2005 00:00:00,1046802,86417,180144,1095.77,23.45,2,3.638312,58.63,35.18
4948,86501,15,Bank Draft,200,2452308,01/10/2005 00:00:00,1046510,86455,142929,741.38,6.90,1,20.619433,17.25,10.35
4948,86516,15,Other,200,2452308,01/10/2005 00:00:00,1046510,86455,143321,3951.87,84.60,1,3.639684,105.75,63.45
4948,86532,15,Loan,200,2452308,01/10/2005 00:00:00,1046510,86455,110252,205.72,2.25,1,1.213157,5.63,3.38
5010,86505,27,Bank Draft,200,2452308,01/10/2005 00:00:00,1046802,86417,140845,694.73,6.70,1,15.721135,16.75,10.05
5332,86503,3,Cash,200,2452308,01/10/2005 00:00:00,1047862,86414,173950,680.34,7.05,1,7.272592,17.63,10.58
5332,86528,3,Other,125,2452308,01/10/2005 00:00:00,1047862,86416,114155,453.31,4.25,1,19.356162,10.63,6.38
5010,2004,27,Bank Draft,200,2452308,01/10/2005 00:00:00,1046802,86494,174148,54771.93,540.00,1,13.344736,1350.00,810.00
4948,86535,15,Cash,200,2452308,01/10/2005 00:00:00,1046510,86455,124525,359.09,3.25,1,24.245629,8.13,4.88
6399,86516,5,Bank Draft,200,2452309,01/10/2005 00:00:00,1046660,86459,82036,3951.87,84.60,1,3.639684,105.75,63.45
6399,86511,5,Cash,200,2452309,01/10/2005 00:00:00,1046660,86434,73316,4603.22,44.50,1,15.768463,111.25,66.75
1783,2000,22,Cash,200,2452309,01/10/2005 00:00:00,1047687,86450,144725,93380.00,1840.00,1,13.333333,2300.00,1380.00
6399,86525,5,Other,200,2452309,01/10/2005 00:00:00,1046660,86434,100522,229.74,4.40,1,16.984402,5.50,3.30
2622,86517,29,Bank Draft,200,2452310,01/10/2005 00:00:00,1046449,86436,175328,2655.00,26.70,1,10.917274,66.75,40.05
2622,86533,29,Loan,200,2452310,01/10/2005 00:00:00,1046449,86441,163241,4486.68,44.25,1,13.350497,110.63,66.38
5215,86537,19,Loan,200,2452311,01/10/2005 00:00:00,1047715,86468,93321,2034.68,45.00,1,0.000000,56.25,33.75
5215,86541,19,Cash,200,2452311,01/10/2005 00:00:00,1047715,86468,121534,729.53,7.05,1,15.761641,17.63,10.58
6003,86520,7,Lease,200,2452311,01/10/2005 00:00:00,1047388,86427,122255,191.43,3.50,1,23.061251,4.38,2.63
5946,86514,18,Bank Draft,200,2452311,01/10/2005 00:00:00,1046429,86425,92114,1024.78,11.20,1,1.212146,28.00,16.80
6003,2003,7,Loan,200,2452311,01/10/2005 00:00:00,1047388,86453,165419,85317.59,840.00,1,13.322262,2100.00,1260.00
3761,86519,22,Loan,200,2452311,01/10/2005 00:00:00,1047425,86471,143501,2445.28,26.70,1,1.210894,66.75,40.05
5946,86507,18,Other,200,2452311,01/10/2005 00:00:00,1046429,86462,182714,411.32,4.50,1,1.213527,11.25,6.75
5338,2000,16,Bank Draft,200,2452311,01/10/2005 00:00:00,1046986,86489,73719,93380.00,1840.00,1,13.333333,2300.00,1380.00
3761,2000,22,Loan,200,2452311,01/10/2005 00:00:00,1047425,86471,152456,93380.00,1840.00,1,13.333333,2300.00,1380.00
6003,86533,7,Loan,200,2452311,01/10/2005 00:00:00,1047388,86453,83039,2243.34,44.25,2,13.350497,110.63,66.38
3761,86538,22,Loan,200,2452311,01/10/2005 00:00:00,1047425,86450,85826,359.02,7.00,1,14.531660,8.75,5.25
6003,86504,7,Lease,200,2452311,01/10/2005 00:00:00,1047388,86453,101554,596.28,12.90,1,2.425813,16.13,9.68
5215,86528,19,Cash,200,2452311,01/10/2005 00:00:00,1047715,86437,163432,453.31,4.25,1,19.356162,10.63,6.38
5956,86519,22,Lease,200,2452312,01/10/2005 00:00:00,1047299,86404,82910,2445.28,26.70,1,1.210894,66.75,40.05
5956,86535,22,Loan,200,2452312,01/10/2005 00:00:00,1047299,86450,103803,359.09,3.25,1,24.245629,8.13,4.88
6586,86538,7,Other,200,2452313,01/10/2005 00:00:00,1046956,86453,162648,359.02,7.00,1,14.531660,8.75,5.25
5952,2004,19,Cash,200,2452313,01/10/2005 00:00:00,1046628,86468,74314,54771.93,540.00,1,13.344736,1350.00,810.00
6586,86513,7,Cash,200,2452313,01/10/2005 00:00:00,1046956,86427,165907,3294.38,34.50,1,6.061388,86.25,51.75
5952,86508,19,Cash,200,2452313,01/10/2005 00:00:00,1046628,86485,161222,213.54,6.20,3,15.791354,15.50,9.30
5952,86536,19,Loan,200,2452313,01/10/2005 00:00:00,1046628,86468,150943,1178.46,12.20,1,7.264328,30.50,18.30
5952,86513,19,Bank Draft,200,2452313,01/10/2005 00:00:00,1046628,86468,173815,3294.38,34.50,1,6.061388,86.25,51.75
6586,86508,7,Loan,105,2452313,01/10/2005 00:00:00,1046956,86453,142405,213.54,6.20,3,15.791354,15.50,9.30
6391,86525,11,Cash,200,2452315,01/10/2005 00:00:00,1046617,86464,142646,229.74,4.40,1,16.984402,5.50,3.30
6391,86534,11,Other,200,2452315,01/10/2005 00:00:00,1046617,86464,103820,4178.98,44.25,1,4.852006,110.63,66.38
2761,86537,4,Cash,200,2452315,01/10/2005 00:00:00,1047944,86409,111253,2034.68,45.00,1,0.000000,56.25,33.75
2761,86515,4,Lease,200,2452315,01/10/2005 00:00:00,1047944,86412,100546,2462.19,22.50,1,23.049645,56.25,33.75
6391,86522,11,Lease,200,2452315,01/10/2005 00:00:00,1046617,86433,154514,2894.55,26.70,1,21.841942,66.75,40.05
6391,86540,11,Other,200,2452315,01/10/2005 00:00:00,1046617,86433,131647,1171.29,22.40,1,16.953437,28.00,16.80
4802,86537,8,Bank Draft,200,2452315,01/10/2005 00:00:00,1046418,86428,73343,2034.68,45.00,1,0.000000,56.25,33.75
4802,86540,8,Loan,200,2452315,01/10/2005 00:00:00,1046418,86428,151003,1171.29,22.40,1,16.953437,28.00,16.80
6391,86522,11,Loan,200,2452315,01/10/2005 00:00:00,1046617,86433,181308,2814.45,26.70,1,18.201618,66.75,40.05
6391,2002,11,Loan,200,2452315,01/10/2005 00:00:00,1046617,86433,133446,50257.71,510.00,1,9.691740,1275.00,765.00
6006,86513,26,Loan,200,2452316,01/10/2005 00:00:00,1047658,86499,114658,3294.38,34.50,1,6.061388,86.25,51.75
6509,86502,8,Bank Draft,200,2452316,01/10/2005 00:00:00,1046690,86428,175205,650.53,12.10,1,20.599490,15.13,9.08
6666,86537,2,Cash,200,2452316,01/10/2005 00:00:00,1046301,86478,70654,2034.68,45.00,1,0.000000,56.25,33.75
4288,86529,20,Cash,200,2452316,01/10/2005 00:00:00,1047144,86469,70640,1350.98,28.00,1,7.272881,35.00,21.00
6455,2002,17,Bank Draft,200,2452316,01/10/2005 00:00:00,1046760,86467,134734,50257.71,510.00,1,9.691740,1275.00,765.00
6666,86532,2,Cash,200,2452316,01/10/2005 00:00:00,1046301,86474,150313,205.72,2.25,1,1.213157,5.63,3.38
6666,86538,2,Loan,200,2452316,01/10/2005 00:00:00,1046301,86440,74821,359.02,7.00,1,14.531660,8.75,5.25
6006,86525,26,Bank Draft,200,2452316,01/10/2005 00:00:00,1047658,86493,151719,229.74,4.40,1,16.984402,5.50,3.30
6509,86533,8,Cash,200,2452316,01/10/2005 00:00:00,1046690,86491,183547,1495.56,44.25,3,13.350497,110.63,66.38
4288,86520,20,Cash,200,2452316,01/10/2005 00:00:00,1047144,86469,163053,191.43,3.50,1,23.061251,4.38,2.63
2731,86539,9,Cash,200,2452317,01/10/2005 00:00:00,1047431,86419,164935,1674.76,18.50,1,0.000000,46.25,27.75
2731,86542,9,Bank Draft,200,2452317,01/10/2005 00:00:00,1047431,86419,94349,179.52,3.50,1,14.531173,4.38,2.63
4029,2002,21,Lease,200,2452317,01/10/2005 00:00:00,1046886,86465,163103,50257.71,510.00,1,9.691740,1275.00,765.00
6007,86511,2,Loan,200,2452317,01/10/2005 00:00:00,1046601,86474,131111,4603.22,44.50,1,15.768463,111.25,66.75
6007,86512,2,Bank Draft,200,2452317,01/10/2005 00:00:00,1046601,86440,135344,4302.96,45.00,1,6.051711,112.50,67.50
6007,86520,2,Cash,200,2452317,01/10/2005 00:00:00,1046601,86426,73710,191.43,3.50,1,23.061251,4.38,2.63
6007,86531,2,Bank Draft,200,2452317,01/10/2005 00:00:00,1046601,86440,94748,175.38,3.45,2,13.306272,8.63,5.17
2069,2004,13,Bank Draft,200,2452317,01/10/2005 00:00:00,1047520,86484,85328,54771.93,540.00,1,13.344736,1350.00,810.00
2731,86508,9,Cash,200,2452317,01/10/2005 00:00:00,1047431,86419,71256,640.61,6.20,1,15.791354,15.50,9.30
6007,2002,2,Cash,200,2452317,01/10/2005 00:00:00,1046601,86498,80846,50257.71,510.00,1,9.691740,1275.00,765.00
4325,86526,22,Bank Draft,200,2452318,01/10/2005 00:00:00,1047931,86430,135344,2849.79,26.00,1,23.000400,65.00,39.00
4325,86542,22,Cash,200,2452318,01/10/2005 00:00:00,1047931,86404,165640,179.52,3.50,1,14.531173,4.38,2.63
5666,2000,21,Loan,200,2452320,01/10/2005 00:00:00,1047396,86418,80437,93380.00,1840.00,1,13.333333,2300.00,1380.00
6636,86526,21,Bank Draft,200,2452320,01/10/2005 00:00:00,1046856,86447,71847,2849.79,26.00,1,23.000400,65.00,39.00
6636,86525,21,Cash,200,2452320,01/10/2005 00:00:00,1046856,86447,90424,229.74,4.40,1,16.984402,5.50,3.30
4401,2003,6,Cash,200,2452321,01/10/2005 00:00:00,1046372,86424,172327,85317.59,840.00,1,13.322262,2100.00,1260.00
4243,86510,23,Bank Draft,200,2452322,01/10/2005 00:00:00,1047030,86421,184928,1125.11,22.40,1,12.127625,28.00,16.80
4243,86517,23,Bank Draft,200,2452322,01/10/2005 00:00:00,1047030,86479,155011,2655.00,26.70,1,10.917274,66.75,40.05
5821,86521,3,Cash,200,2452323,01/10/2005 00:00:00,1046547,86414,123439,4650.50,42.50,1,23.051670,106.25,63.75
5821,86517,3,Loan,200,2452323,01/10/2005 00:00:00,1046547,86414,183508,2655.00,26.70,1,10.917274,66.75,40.05
3881,86518,8,Loan,200,2452323,01/10/2005 00:00:00,1047049,86428,174804,2495.48,53.40,1,3.637959,66.75,40.05
3881,86507,8,Bank Draft,200,2452323,01/10/2005 00:00:00,1047049,86428,103926,411.32,4.50,1,1.213527,11.25,6.75
5131,86513,2,Bank Draft,200,2452324,01/10/2005 00:00:00,1047268,86440,101752,3294.38,34.50,1,6.061388,86.25,51.75
5131,2003,2,Bank Draft,200,2452324,01/10/2005 00:00:00,1047268,86423,145724,85317.59,840.00,1,13.322262,2100.00,1260.00
5131,86501,2,Cash,200,2452324,01/10/2005 00:00:00,1047268,86423,121805,741.38,6.90,1,20.619433,17.25,10.35
5131,86508,2,Cash,200,2452324,01/10/2005 00:00:00,1047268,86478,104420,640.61,6.20,1,15.791354,15.50,9.30
