DATE_SK,DATE_VALUE,DATE_NUM,YEAR_MONTH_NUMBER,CALENDAR_QUARTER,MONTH_NUM,MONTH_NAME,MONTH_SHORT_NAME,WEEK_NUM,DAY_NUM_OF_YEAR,DAY_NUM_OF_MONTH,DAY_NUM_OF_WEEK,DAY_NAME,DAY_SHORT_NAME,QUARTER_NUM,YEAR_QUARTER_NUM,DAY_NUM_OF_QUARTER
19910202,1991-02-02,19910202,199102,Qtr 1,2,February,Feb,5,33,2,7,Saturday,Sat,1,19911,33
19910203,1991-02-03,19910203,199102,Qtr 1,2,February,Feb,5,34,3,1,Sunday,Sun,1,19911,34
19910204,1991-02-04,19910204,199102,Qtr 1,2,February,Feb,6,35,4,2,Monday,Mon,1,19911,35
19910205,1991-02-05,19910205,199102,Qtr 1,2,February,Feb,6,36,5,3,Tuesday,Tue,1,19911,36
19910206,1991-02-06,19910206,199102,Qtr 1,2,February,Feb,6,37,6,4,Wednesday,Wed,1,19911,37
19910207,1991-02-07,19910207,199102,Qtr 1,2,February,Feb,6,38,7,5,Thursday,Thu,1,19911,38
19910208,1991-02-08,19910208,199102,Qtr 1,2,February,Feb,6,39,8,6,Friday,Fri,1,19911,39
19910209,1991-02-09,19910209,199102,Qtr 1,2,February,Feb,6,40,9,7,Saturday,Sat,1,19911,40
19910210,1991-02-10,19910210,199102,Qtr 1,2,February,Feb,6,41,10,1,Sunday,Sun,1,19911,41
19910211,1991-02-11,19910211,199102,Qtr 1,2,February,Feb,7,42,11,2,Monday,Mon,1,19911,42
19910212,1991-02-12,19910212,199102,Qtr 1,2,February,Feb,7,43,12,3,Tuesday,Tue,1,19911,43
19910213,1991-02-13,19910213,199102,Qtr 1,2,February,Feb,7,44,13,4,Wednesday,Wed,1,19911,44
19910214,1991-02-14,19910214,199102,Qtr 1,2,February,Feb,7,45,14,5,Thursday,Thu,1,19911,45
19910215,1991-02-15,19910215,199102,Qtr 1,2,February,Feb,7,46,15,6,Friday,Fri,1,19911,46
19910216,1991-02-16,19910216,199102,Qtr 1,2,February,Feb,7,47,16,7,Saturday,Sat,1,19911,47
19910217,1991-02-17,19910217,199102,Qtr 1,2,February,Feb,7,48,17,1,Sunday,Sun,1,19911,48
19910218,1991-02-18,19910218,199102,Qtr 1,2,February,Feb,8,49,18,2,Monday,Mon,1,19911,49
19910219,1991-02-19,19910219,199102,Qtr 1,2,February,Feb,8,50,19,3,Tuesday,Tue,1,19911,50
19910220,1991-02-20,19910220,199102,Qtr 1,2,February,Feb,8,51,20,4,Wednesday,Wed,1,19911,51
19910221,1991-02-21,19910221,199102,Qtr 1,2,February,Feb,8,52,21,5,Thursday,Thu,1,19911,52
19910222,1991-02-22,19910222,199102,Qtr 1,2,February,Feb,8,53,22,6,Friday,Fri,1,19911,53
19910223,1991-02-23,19910223,199102,Qtr 1,2,February,Feb,8,54,23,7,Saturday,Sat,1,19911,54
19910224,1991-02-24,19910224,199102,Qtr 1,2,February,Feb,8,55,24,1,Sunday,Sun,1,19911,55
19910225,1991-02-25,19910225,199102,Qtr 1,2,February,Feb,9,56,25,2,Monday,Mon,1,19911,56
19910226,1991-02-26,19910226,199102,Qtr 1,2,February,Feb,9,57,26,3,Tuesday,Tue,1,19911,57
19910227,1991-02-27,19910227,199102,Qtr 1,2,February,Feb,9,58,27,4,Wednesday,Wed,1,19911,58
19910228,1991-02-28,19910228,199102,Qtr 1,2,February,Feb,9,59,28,5,Thursday,Thu,1,19911,59
19910301,1991-03-01,19910301,199103,Qtr 1,3,March,Mar,9,60,1,6,Friday,Fri,1,19911,60
19910302,1991-03-02,19910302,199103,Qtr 1,3,March,Mar,9,61,2,7,Saturday,Sat,1,19911,61
19910303,1991-03-03,19910303,199103,Qtr 1,3,March,Mar,9,62,3,1,Sunday,Sun,1,19911,62
19910304,1991-03-04,19910304,199103,Qtr 1,3,March,Mar,10,63,4,2,Monday,Mon,1,19911,63
19910305,1991-03-05,19910305,199103,Qtr 1,3,March,Mar,10,64,5,3,Tuesday,Tue,1,19911,64
19910306,1991-03-06,19910306,199103,Qtr 1,3,March,Mar,10,65,6,4,Wednesday,Wed,1,19911,65
19910307,1991-03-07,19910307,199103,Qtr 1,3,March,Mar,10,66,7,5,Thursday,Thu,1,19911,66
19910308,1991-03-08,19910308,199103,Qtr 1,3,March,Mar,10,67,8,6,Friday,Fri,1,19911,67
19910309,1991-03-09,19910309,199103,Qtr 1,3,March,Mar,10,68,9,7,Saturday,Sat,1,19911,68
19910310,1991-03-10,19910310,199103,Qtr 1,3,March,Mar,10,69,10,1,Sunday,Sun,1,19911,69
19910311,1991-03-11,19910311,199103,Qtr 1,3,March,Mar,11,70,11,2,Monday,Mon,1,19911,70
19910312,1991-03-12,19910312,199103,Qtr 1,3,March,Mar,11,71,12,3,Tuesday,Tue,1,19911,71
19910313,1991-03-13,19910313,199103,Qtr 1,3,March,Mar,11,72,13,4,Wednesday,Wed,1,19911,72
19910314,1991-03-14,19910314,199103,Qtr 1,3,March,Mar,11,73,14,5,Thursday,Thu,1,19911,73
19910315,1991-03-15,19910315,199103,Qtr 1,3,March,Mar,11,74,15,6,Friday,Fri,1,19911,74
19910316,1991-03-16,19910316,199103,Qtr 1,3,March,Mar,11,75,16,7,Saturday,Sat,1,19911,75
19910317,1991-03-17,19910317,199103,Qtr 1,3,March,Mar,11,76,17,1,Sunday,Sun,1,19911,76
19910318,1991-03-18,19910318,199103,Qtr 1,3,March,Mar,12,77,18,2,Monday,Mon,1,19911,77
19910319,1991-03-19,19910319,199103,Qtr 1,3,March,Mar,12,78,19,3,Tuesday,Tue,1,19911,78
19910320,1991-03-20,19910320,199103,Qtr 1,3,March,Mar,12,79,20,4,Wednesday,Wed,1,19911,79
19910321,1991-03-21,19910321,199103,Qtr 1,3,March,Mar,12,80,21,5,Thursday,Thu,1,19911,80
19910322,1991-03-22,19910322,199103,Qtr 1,3,March,Mar,12,81,22,6,Friday,Fri,1,19911,81
19910323,1991-03-23,19910323,199103,Qtr 1,3,March,Mar,12,82,23,7,Saturday,Sat,1,19911,82
19910324,1991-03-24,19910324,199103,Qtr 1,3,March,Mar,12,83,24,1,Sunday,Sun,1,19911,83
19910325,1991-03-25,19910325,199103,Qtr 1,3,March,Mar,13,84,25,2,Monday,Mon,1,19911,84
19910326,1991-03-26,19910326,199103,Qtr 1,3,March,Mar,13,85,26,3,Tuesday,Tue,1,19911,85
19910327,1991-03-27,19910327,199103,Qtr 1,3,March,Mar,13,86,27,4,Wednesday,Wed,1,19911,86
19910328,1991-03-28,19910328,199103,Qtr 1,3,March,Mar,13,87,28,5,Thursday,Thu,1,19911,87
19910329,1991-03-29,19910329,199103,Qtr 1,3,March,Mar,13,88,29,6,Friday,Fri,1,19911,88
19910330,1991-03-30,19910330,199103,Qtr 1,3,March,Mar,13,89,30,7,Saturday,Sat,1,19911,89
19910331,1991-03-31,19910331,199103,Qtr 1,3,March,Mar,13,90,31,1,Sunday,Sun,1,19911,90
19910401,1991-04-01,19910401,199104,Qtr 2,4,April,Apr,14,91,1,2,Monday,Mon,2,19912,1
19910402,1991-04-02,19910402,199104,Qtr 2,4,April,Apr,14,92,2,3,Tuesday,Tue,2,19912,2
19910403,1991-04-03,19910403,199104,Qtr 2,4,April,Apr,14,93,3,4,Wednesday,Wed,2,19912,3
19910404,1991-04-04,19910404,199104,Qtr 2,4,April,Apr,14,94,4,5,Thursday,Thu,2,19912,4
19910405,1991-04-05,19910405,199104,Qtr 2,4,April,Apr,14,95,5,6,Friday,Fri,2,19912,5
19910406,1991-04-06,19910406,199104,Qtr 2,4,April,Apr,14,96,6,7,Saturday,Sat,2,19912,6
19910407,1991-04-07,19910407,199104,Qtr 2,4,April,Apr,14,97,7,1,Sunday,Sun,2,19912,7
19910408,1991-04-08,19910408,199104,Qtr 2,4,April,Apr,15,98,8,2,Monday,Mon,2,19912,8
19910409,1991-04-09,19910409,199104,Qtr 2,4,April,Apr,15,99,9,3,Tuesday,Tue,2,19912,9
19910410,1991-04-10,19910410,199104,Qtr 2,4,April,Apr,15,100,10,4,Wednesday,Wed,2,19912,10
19910411,1991-04-11,19910411,199104,Qtr 2,4,April,Apr,15,101,11,5,Thursday,Thu,2,19912,11
19910412,1991-04-12,19910412,199104,Qtr 2,4,April,Apr,15,102,12,6,Friday,Fri,2,19912,12
19910413,1991-04-13,19910413,199104,Qtr 2,4,April,Apr,15,103,13,7,Saturday,Sat,2,19912,13
19910414,1991-04-14,19910414,199104,Qtr 2,4,April,Apr,15,104,14,1,Sunday,Sun,2,19912,14
19910415,1991-04-15,19910415,199104,Qtr 2,4,April,Apr,16,105,15,2,Monday,Mon,2,19912,15
19910416,1991-04-16,19910416,199104,Qtr 2,4,April,Apr,16,106,16,3,Tuesday,Tue,2,19912,16
19910417,1991-04-17,19910417,199104,Qtr 2,4,April,Apr,16,107,17,4,Wednesday,Wed,2,19912,17
19910418,1991-04-18,19910418,199104,Qtr 2,4,April,Apr,16,108,18,5,Thursday,Thu,2,19912,18
19910419,1991-04-19,19910419,199104,Qtr 2,4,April,Apr,16,109,19,6,Friday,Fri,2,19912,19
19910420,1991-04-20,19910420,199104,Qtr 2,4,April,Apr,16,110,20,7,Saturday,Sat,2,19912,20
19910421,1991-04-21,19910421,199104,Qtr 2,4,April,Apr,16,111,21,1,Sunday,Sun,2,19912,21
19910422,1991-04-22,19910422,199104,Qtr 2,4,April,Apr,17,112,22,2,Monday,Mon,2,19912,22
19910423,1991-04-23,19910423,199104,Qtr 2,4,April,Apr,17,113,23,3,Tuesday,Tue,2,19912,23
19910424,1991-04-24,19910424,199104,Qtr 2,4,April,Apr,17,114,24,4,Wednesday,Wed,2,19912,24
19910425,1991-04-25,19910425,199104,Qtr 2,4,April,Apr,17,115,25,5,Thursday,Thu,2,19912,25
19910426,1991-04-26,19910426,199104,Qtr 2,4,April,Apr,17,116,26,6,Friday,Fri,2,19912,26
19910427,1991-04-27,19910427,199104,Qtr 2,4,April,Apr,17,117,27,7,Saturday,Sat,2,19912,27
19910428,1991-04-28,19910428,199104,Qtr 2,4,April,Apr,17,118,28,1,Sunday,Sun,2,19912,28
19910429,1991-04-29,19910429,199104,Qtr 2,4,April,Apr,18,119,29,2,Monday,Mon,2,19912,29
19910430,1991-04-30,19910430,199104,Qtr 2,4,April,Apr,18,120,30,3,Tuesday,Tue,2,19912,30
19910501,1991-05-01,19910501,199105,Qtr 2,5,May,May,18,121,1,4,Wednesday,Wed,2,19912,31
19910502,1991-05-02,19910502,199105,Qtr 2,5,May,May,18,122,2,5,Thursday,Thu,2,19912,32
19910503,1991-05-03,19910503,199105,Qtr 2,5,May,May,18,123,3,6,Friday,Fri,2,19912,33
19910504,1991-05-04,19910504,199105,Qtr 2,5,May,May,18,124,4,7,Saturday,Sat,2,19912,34
19910505,1991-05-05,19910505,199105,Qtr 2,5,May,May,18,125,5,1,Sunday,Sun,2,19912,35
19910506,1991-05-06,19910506,199105,Qtr 2,5,May,May,19,126,6,2,Monday,Mon,2,19912,36
19910507,1991-05-07,19910507,199105,Qtr 2,5,May,May,19,127,7,3,Tuesday,Tue,2,19912,37
19910508,1991-05-08,19910508,199105,Qtr 2,5,May,May,19,128,8,4,Wednesday,Wed,2,19912,38
19910509,1991-05-09,19910509,199105,Qtr 2,5,May,May,19,129,9,5,Thursday,Thu,2,19912,39
19910510,1991-05-10,19910510,199105,Qtr 2,5,May,May,19,130,10,6,Friday,Fri,2,19912,40
19910511,1991-05-11,19910511,199105,Qtr 2,5,May,May,19,131,11,7,Saturday,Sat,2,19912,41
19910512,1991-05-12,19910512,199105,Qtr 2,5,May,May,19,132,12,1,Sunday,Sun,2,19912,42
19910513,1991-05-13,19910513,199105,Qtr 2,5,May,May,20,133,13,2,Monday,Mon,2,19912,43
19910514,1991-05-14,19910514,199105,Qtr 2,5,May,May,20,134,14,3,Tuesday,Tue,2,19912,44
19910515,1991-05-15,19910515,199105,Qtr 2,5,May,May,20,135,15,4,Wednesday,Wed,2,19912,45
19910516,1991-05-16,19910516,199105,Qtr 2,5,May,May,20,136,16,5,Thursday,Thu,2,19912,46
19910517,1991-05-17,19910517,199105,Qtr 2,5,May,May,20,137,17,6,Friday,Fri,2,19912,47
19910518,1991-05-18,19910518,199105,Qtr 2,5,May,May,20,138,18,7,Saturday,Sat,2,19912,48
19910519,1991-05-19,19910519,199105,Qtr 2,5,May,May,20,139,19,1,Sunday,Sun,2,19912,49
19910520,1991-05-20,19910520,199105,Qtr 2,5,May,May,21,140,20,2,Monday,Mon,2,19912,50
19910521,1991-05-21,19910521,199105,Qtr 2,5,May,May,21,141,21,3,Tuesday,Tue,2,19912,51
19910522,1991-05-22,19910522,199105,Qtr 2,5,May,May,21,142,22,4,Wednesday,Wed,2,19912,52
19910523,1991-05-23,19910523,199105,Qtr 2,5,May,May,21,143,23,5,Thursday,Thu,2,19912,53
19910524,1991-05-24,19910524,199105,Qtr 2,5,May,May,21,144,24,6,Friday,Fri,2,19912,54
19910525,1991-05-25,19910525,199105,Qtr 2,5,May,May,21,145,25,7,Saturday,Sat,2,19912,55
19910526,1991-05-26,19910526,199105,Qtr 2,5,May,May,21,146,26,1,Sunday,Sun,2,19912,56
19910527,1991-05-27,19910527,199105,Qtr 2,5,May,May,22,147,27,2,Monday,Mon,2,19912,57
19910528,1991-05-28,19910528,199105,Qtr 2,5,May,May,22,148,28,3,Tuesday,Tue,2,19912,58
19910529,1991-05-29,19910529,199105,Qtr 2,5,May,May,22,149,29,4,Wednesday,Wed,2,19912,59
19910530,1991-05-30,19910530,199105,Qtr 2,5,May,May,22,150,30,5,Thursday,Thu,2,19912,60
19910531,1991-05-31,19910531,199105,Qtr 2,5,May,May,22,151,31,6,Friday,Fri,2,19912,61
19910601,1991-06-01,19910601,199106,Qtr 2,6,June,Jun,22,152,1,7,Saturday,Sat,2,19912,62
19910602,1991-06-02,19910602,199106,Qtr 2,6,June,Jun,22,153,2,1,Sunday,Sun,2,19912,63
19910603,1991-06-03,19910603,199106,Qtr 2,6,June,Jun,23,154,3,2,Monday,Mon,2,19912,64
19910604,1991-06-04,19910604,199106,Qtr 2,6,June,Jun,23,155,4,3,Tuesday,Tue,2,19912,65
19910605,1991-06-05,19910605,199106,Qtr 2,6,June,Jun,23,156,5,4,Wednesday,Wed,2,19912,66
19910606,1991-06-06,19910606,199106,Qtr 2,6,June,Jun,23,157,6,5,Thursday,Thu,2,19912,67
19910607,1991-06-07,19910607,199106,Qtr 2,6,June,Jun,23,158,7,6,Friday,Fri,2,19912,68
19910608,1991-06-08,19910608,199106,Qtr 2,6,June,Jun,23,159,8,7,Saturday,Sat,2,19912,69
19910609,1991-06-09,19910609,199106,Qtr 2,6,June,Jun,23,160,9,1,Sunday,Sun,2,19912,70
19910610,1991-06-10,19910610,199106,Qtr 2,6,June,Jun,24,161,10,2,Monday,Mon,2,19912,71
19910611,1991-06-11,19910611,199106,Qtr 2,6,June,Jun,24,162,11,3,Tuesday,Tue,2,19912,72
19910612,1991-06-12,19910612,199106,Qtr 2,6,June,Jun,24,163,12,4,Wednesday,Wed,2,19912,73
19910613,1991-06-13,19910613,199106,Qtr 2,6,June,Jun,24,164,13,5,Thursday,Thu,2,19912,74
19910614,1991-06-14,19910614,199106,Qtr 2,6,June,Jun,24,165,14,6,Friday,Fri,2,19912,75
19910615,1991-06-15,19910615,199106,Qtr 2,6,June,Jun,24,166,15,7,Saturday,Sat,2,19912,76
19910616,1991-06-16,19910616,199106,Qtr 2,6,June,Jun,24,167,16,1,Sunday,Sun,2,19912,77
19910617,1991-06-17,19910617,199106,Qtr 2,6,June,Jun,25,168,17,2,Monday,Mon,2,19912,78
19910618,1991-06-18,19910618,199106,Qtr 2,6,June,Jun,25,169,18,3,Tuesday,Tue,2,19912,79
19910619,1991-06-19,19910619,199106,Qtr 2,6,June,Jun,25,170,19,4,Wednesday,Wed,2,19912,80
19910620,1991-06-20,19910620,199106,Qtr 2,6,June,Jun,25,171,20,5,Thursday,Thu,2,19912,81
19910621,1991-06-21,19910621,199106,Qtr 2,6,June,Jun,25,172,21,6,Friday,Fri,2,19912,82
19910622,1991-06-22,19910622,199106,Qtr 2,6,June,Jun,25,173,22,7,Saturday,Sat,2,19912,83
19910623,1991-06-23,19910623,199106,Qtr 2,6,June,Jun,25,174,23,1,Sunday,Sun,2,19912,84
19910624,1991-06-24,19910624,199106,Qtr 2,6,June,Jun,26,175,24,2,Monday,Mon,2,19912,85
19910625,1991-06-25,19910625,199106,Qtr 2,6,June,Jun,26,176,25,3,Tuesday,Tue,2,19912,86
19910626,1991-06-26,19910626,199106,Qtr 2,6,June,Jun,26,177,26,4,Wednesday,Wed,2,19912,87
19910627,1991-06-27,19910627,199106,Qtr 2,6,June,Jun,26,178,27,5,Thursday,Thu,2,19912,88
19910628,1991-06-28,19910628,199106,Qtr 2,6,June,Jun,26,179,28,6,Friday,Fri,2,19912,89
19910629,1991-06-29,19910629,199106,Qtr 2,6,June,Jun,26,180,29,7,Saturday,Sat,2,19912,90
19910630,1991-06-30,19910630,199106,Qtr 2,6,June,Jun,26,181,30,1,Sunday,Sun,2,19912,91
19910701,1991-07-01,19910701,199107,Qtr 3,7,July,Jul,27,182,1,2,Monday,Mon,3,19913,1
19910702,1991-07-02,19910702,199107,Qtr 3,7,July,Jul,27,183,2,3,Tuesday,Tue,3,19913,2
19910703,1991-07-03,19910703,199107,Qtr 3,7,July,Jul,27,184,3,4,Wednesday,Wed,3,19913,3
19910704,1991-07-04,19910704,199107,Qtr 3,7,July,Jul,27,185,4,5,Thursday,Thu,3,19913,4
19910705,1991-07-05,19910705,199107,Qtr 3,7,July,Jul,27,186,5,6,Friday,Fri,3,19913,5
19910706,1991-07-06,19910706,199107,Qtr 3,7,July,Jul,27,187,6,7,Saturday,Sat,3,19913,6
19910707,1991-07-07,19910707,199107,Qtr 3,7,July,Jul,27,188,7,1,Sunday,Sun,3,19913,7
19910708,1991-07-08,19910708,199107,Qtr 3,7,July,Jul,28,189,8,2,Monday,Mon,3,19913,8
19910709,1991-07-09,19910709,199107,Qtr 3,7,July,Jul,28,190,9,3,Tuesday,Tue,3,19913,9
19910710,1991-07-10,19910710,199107,Qtr 3,7,July,Jul,28,191,10,4,Wednesday,Wed,3,19913,10
19910711,1991-07-11,19910711,199107,Qtr 3,7,July,Jul,28,192,11,5,Thursday,Thu,3,19913,11
19910712,1991-07-12,19910712,199107,Qtr 3,7,July,Jul,28,193,12,6,Friday,Fri,3,19913,12
19910713,1991-07-13,19910713,199107,Qtr 3,7,July,Jul,28,194,13,7,Saturday,Sat,3,19913,13
19910714,1991-07-14,19910714,199107,Qtr 3,7,July,Jul,28,195,14,1,Sunday,Sun,3,19913,14
19910715,1991-07-15,19910715,199107,Qtr 3,7,July,Jul,29,196,15,2,Monday,Mon,3,19913,15
19910716,1991-07-16,19910716,199107,Qtr 3,7,July,Jul,29,197,16,3,Tuesday,Tue,3,19913,16
19910717,1991-07-17,19910717,199107,Qtr 3,7,July,Jul,29,198,17,4,Wednesday,Wed,3,19913,17
19910718,1991-07-18,19910718,199107,Qtr 3,7,July,Jul,29,199,18,5,Thursday,Thu,3,19913,18
19910719,1991-07-19,19910719,199107,Qtr 3,7,July,Jul,29,200,19,6,Friday,Fri,3,19913,19
19910720,1991-07-20,19910720,199107,Qtr 3,7,July,Jul,29,201,20,7,Saturday,Sat,3,19913,20
19910721,1991-07-21,19910721,199107,Qtr 3,7,July,Jul,29,202,21,1,Sunday,Sun,3,19913,21
19910722,1991-07-22,19910722,199107,Qtr 3,7,July,Jul,30,203,22,2,Monday,Mon,3,19913,22
19910723,1991-07-23,19910723,199107,Qtr 3,7,July,Jul,30,204,23,3,Tuesday,Tue,3,19913,23
19910724,1991-07-24,19910724,199107,Qtr 3,7,July,Jul,30,205,24,4,Wednesday,Wed,3,19913,24
19910725,1991-07-25,19910725,199107,Qtr 3,7,July,Jul,30,206,25,5,Thursday,Thu,3,19913,25
19910726,1991-07-26,19910726,199107,Qtr 3,7,July,Jul,30,207,26,6,Friday,Fri,3,19913,26
19910727,1991-07-27,19910727,199107,Qtr 3,7,July,Jul,30,208,27,7,Saturday,Sat,3,19913,27
19910728,1991-07-28,19910728,199107,Qtr 3,7,July,Jul,30,209,28,1,Sunday,Sun,3,19913,28
19910729,1991-07-29,19910729,199107,Qtr 3,7,July,Jul,31,210,29,2,Monday,Mon,3,19913,29
19910730,1991-07-30,19910730,199107,Qtr 3,7,July,Jul,31,211,30,3,Tuesday,Tue,3,19913,30
19910731,1991-07-31,19910731,199107,Qtr 3,7,July,Jul,31,212,31,4,Wednesday,Wed,3,19913,31
19910801,1991-08-01,19910801,199108,Qtr 3,8,August,Aug,31,213,1,5,Thursday,Thu,3,19913,32
19910802,1991-08-02,19910802,199108,Qtr 3,8,August,Aug,31,214,2,6,Friday,Fri,3,19913,33
19910803,1991-08-03,19910803,199108,Qtr 3,8,August,Aug,31,215,3,7,Saturday,Sat,3,19913,34
19910804,1991-08-04,19910804,199108,Qtr 3,8,August,Aug,31,216,4,1,Sunday,Sun,3,19913,35
19910805,1991-08-05,19910805,199108,Qtr 3,8,August,Aug,32,217,5,2,Monday,Mon,3,19913,36
19910806,1991-08-06,19910806,199108,Qtr 3,8,August,Aug,32,218,6,3,Tuesday,Tue,3,19913,37
19910807,1991-08-07,19910807,199108,Qtr 3,8,August,Aug,32,219,7,4,Wednesday,Wed,3,19913,38
19910808,1991-08-08,19910808,199108,Qtr 3,8,August,Aug,32,220,8,5,Thursday,Thu,3,19913,39
19910809,1991-08-09,19910809,199108,Qtr 3,8,August,Aug,32,221,9,6,Friday,Fri,3,19913,40
19910810,1991-08-10,19910810,199108,Qtr 3,8,August,Aug,32,222,10,7,Saturday,Sat,3,19913,41
19910811,1991-08-11,19910811,199108,Qtr 3,8,August,Aug,32,223,11,1,Sunday,Sun,3,19913,42
19910812,1991-08-12,19910812,199108,Qtr 3,8,August,Aug,33,224,12,2,Monday,Mon,3,19913,43
19910813,1991-08-13,19910813,199108,Qtr 3,8,August,Aug,33,225,13,3,Tuesday,Tue,3,19913,44
19910814,1991-08-14,19910814,199108,Qtr 3,8,August,Aug,33,226,14,4,Wednesday,Wed,3,19913,45
19910815,1991-08-15,19910815,199108,Qtr 3,8,August,Aug,33,227,15,5,Thursday,Thu,3,19913,46
19910816,1991-08-16,19910816,199108,Qtr 3,8,August,Aug,33,228,16,6,Friday,Fri,3,19913,47
19910817,1991-08-17,19910817,199108,Qtr 3,8,August,Aug,33,229,17,7,Saturday,Sat,3,19913,48
19910818,1991-08-18,19910818,199108,Qtr 3,8,August,Aug,33,230,18,1,Sunday,Sun,3,19913,49
19910819,1991-08-19,19910819,199108,Qtr 3,8,August,Aug,34,231,19,2,Monday,Mon,3,19913,50
19910820,1991-08-20,19910820,199108,Qtr 3,8,August,Aug,34,232,20,3,Tuesday,Tue,3,19913,51
19910821,1991-08-21,19910821,199108,Qtr 3,8,August,Aug,34,233,21,4,Wednesday,Wed,3,19913,52
19910822,1991-08-22,19910822,199108,Qtr 3,8,August,Aug,34,234,22,5,Thursday,Thu,3,19913,53
19910823,1991-08-23,19910823,199108,Qtr 3,8,August,Aug,34,235,23,6,Friday,Fri,3,19913,54
19910824,1991-08-24,19910824,199108,Qtr 3,8,August,Aug,34,236,24,7,Saturday,Sat,3,19913,55
19910825,1991-08-25,19910825,199108,Qtr 3,8,August,Aug,34,237,25,1,Sunday,Sun,3,19913,56
19910826,1991-08-26,19910826,199108,Qtr 3,8,August,Aug,35,238,26,2,Monday,Mon,3,19913,57
19910827,1991-08-27,19910827,199108,Qtr 3,8,August,Aug,35,239,27,3,Tuesday,Tue,3,19913,58
